Name,Value,Id
Andaman Nicobar,22,AND
Andhra Pradesh,4,ANP
Arunachal Pradesh,27,ARP
Assam,2,ASM
Bihar,2,BIH
Chandigarh,25,CHA
Chattisgarh,1,CTG
Delhi,27,DEL
Goa,1,GOA
Gujarat,21,GUJ
Haryana,30,HRY
Himachal Pradesh,10,HMP
Jammu & Kashmir,1,JK
Jharkand,19,JHA
Karnataka,8,KAR
Kerala,25,KER
Lakshadweep,20,LAK
Madhya Pradesh,24,MP
Maharashtra,18,MAH
Manipur,23,MAN
Meghalaya,10,MEG
Mizoram,7,MIZ
Nagaland,2,NAG
Orissa,15,ORI
Pondicherry,19,PON
Punjab,9,PUN
Rajasthan,20,RAJ
Sikkim,19,SIK
Tamil Nadu,9,TAM
Tripura,8,TRI
Uttar Pradesh,6,UP
Uttaranchal,25,UTP
West Bengal,15,WB
